"b","coordinates.xx....1.","coordinates.xx....2."
"ANDAMAN AND NICOBAR ISLANDS",92.8301994080859,12.60225052538
"Andhra Pradesh",79.5643780844377,16.5825154407859
"Arunachal Pradesh",94.6751524078523,28.0387307396043
"Assam",92.8303638811626,26.3571284574886
"Bihar",85.6048335596918,25.6796546479385
"CHANDIGARH",76.7682781282408,30.7338389656179
"Chhattisgarh",82.0353660736814,21.2647047751648
"DADRA AND NAGAR HAVELI",73.0809013652801,20.1947419078891
"DAMAN AND DIU",70.9407725755332,20.7172056317138
"Goa",74.0578755897546,15.3595362650917
"Gujarat",71.5317995143873,22.6761079337044
"Haryana",76.332568168598,29.2003633286598
"Himachal Pradesh",77.2333141780441,31.9277669204367
"Jammu And Kashmir",76.3481979491264,34.6488083981121
"Jharkhand",85.5576314889221,23.6545358555613
"Karnataka",76.1664556985273,14.7051703746376
"Kerala",76.4004562995369,10.4534354380494
"LAKSHADWEEP",73.0492259702292,8.2805218603639
"Madhya Pradesh",78.2891497420038,23.541193707499
"Maharashtra",76.109737602945,19.4494856981376
"Manipur",93.8826312078543,24.7391371999046
"Meghalaya",91.2788821591982,25.5369341938983
"Mizoram",92.8382203391004,23.3093808924471
"Nagaland",94.4703472022083,26.0671790842394
"Nct Of Delhi",77.1089795991151,28.6465190115542
"Orissa",84.4215590075633,20.5046161051688
"Pondicherry",79.7500831721336,11.9081779056214
"Punjab",75.4071846250968,30.8420197796522
"Rajasthan",73.8479809534263,26.5834059992079
"Sikkim",88.4727117975443,27.5716714403365
"Tamil Nadu",78.4001539077072,11.0064409204039
"Tripura",91.7435647533259,23.746783018458
"Uttar Pradesh",80.5606241287263,26.9251165419132
"Uttarakhand",79.1990878336149,30.1564998525318
"West Bengal",87.9455111798574,23.9031648983879
