State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Category,Long,Lat
Total,37257,10021,1223,26009,02-05-2020 06:34,TT,-,-,-
Maharashtra,11506,1879,485,9142,01-05-2020 23:03,MH,Very High,76.1097376,19.4494857
Gujarat,4721,736,236,3749,01-05-2020 21:10,GJ,Medium,71.53179951,22.67610793
Nct Of Delhi,3738,1167,61,2510,01-05-2020 21:22,DL,Low,77.1089796,28.64651901
Madhya Pradesh,2715,524,145,2046,01-05-2020 21:52,MP,Low,78.28914974,23.54119371
Rajasthan,2666,1116,62,1488,01-05-2020 22:12,RJ,Low,73.84798095,26.583406
Tamil Nadu,2526,1312,28,1186,01-05-2020 19:22,TN,Low,78.40015391,11.00644092
Uttar Pradesh,2328,654,42,1632,01-05-2020 22:45,UP,Low,80.56062413,26.92511654
Andhra Pradesh,1463,403,33,1027,01-05-2020 13:11,AP,Very Low,79.56437808,16.58251544
Telangana,1044,464,28,552,01-05-2020 20:12,TG,Very Low,#N/A,#N/A
West Bengal,795,139,33,623,01-05-2020 09:01,WB,Very Low,87.94551118,23.9031649
Jammu And Kashmir,639,247,8,384,01-05-2020 18:02,JK,Very Low,76.34819795,34.6488084
Karnataka,589,251,22,315,01-05-2020 18:02,KA,Very Low,76.1664557,14.70517037
Kerala,498,392,4,102,01-05-2020 17:32,KL,Very Low,76.4004563,10.45343544
Bihar,466,98,3,365,02-05-2020 06:34,BR,Very Low,85.60483356,25.67965465
Punjab,585,108,20,457,01-05-2020 18:12,PB,Very Low,75.40718463,30.84201978
Haryana,357,241,4,112,01-05-2020 19:22,HR,Very Low,76.33256817,29.20036333
Orissa,149,55,1,93,01-05-2020 17:42,OR,Very Low,84.42155901,20.50461611
Jharkhand,113,21,3,89,01-05-2020 21:32,JH,Very Low,85.55763149,23.65453586
CHANDIGARH,88,18,0,70,01-05-2020 17:28,CH,Very Low,76.76827813,30.73383897
Uttarakhand,57,37,1,19,01-05-2020 21:40,UT,Very Low,79.19908783,30.15649985
Himachal Pradesh,40,30,2,5,01-05-2020 23:02,HP,Very Low,77.23331418,31.92776692
Assam,43,33,1,9,01-05-2020 17:51,AS,Very Low,92.83036388,26.35712846
Chhattisgarh,43,36,0,7,01-05-2020 20:12,CT,Very Low,82.03536607,21.26470478
ANDAMAN AND NICOBAR ISLANDS,33,16,0,17,30-04-2020 11:32,AN,Very Low,92.83019941,12.60225053
Ladakh,22,17,0,5,29-04-2020 21:12,LA,Very Low,#N/A,#N/A
Meghalaya,12,10,1,1,01-05-2020 16:02,ML,Very Low,91.27888216,25.53693419
Puducherry,8,5,0,3,27-04-2020 23:21,PY,Very Low,79.75008317,11.90817791
Goa,7,7,0,0,19-04-2020 17:04,GA,Very Low,74.05787559,15.35953627
Manipur,2,2,0,0,20-04-2020 10:04,MN,Very Low,93.88263121,24.7391372
Tripura,2,2,0,0,23-04-2020 20:47,TR,Very Low,91.74356475,23.74678302
Mizoram,1,0,0,1,26-03-2020 07:19,MZ,Very Low,92.83822034,23.30938089
Arunachal Pradesh,1,1,0,0,16-04-2020 19:33,AR,Very Low,94.67515241,28.03873074
Nagaland,0,0,0,0,20-04-2020 08:45,NL,Very Low,94.4703472,26.06717908
DADRA AND NAGAR HAVELI,0,0,0,0,17-04-2020 15:03,DN,Very Low,73.08090137,20.19474191
DAMAN AND DIU,0,0,0,0,26-03-2020 07:19,DD,Very Low,70.94077258,20.71720563
LAKSHADWEEP,0,0,0,0,26-03-2020 07:19,LD,Very Low,73.04922597,8.28052186
Sikkim,0,0,0,0,26-03-2020 07:19,SK,Very Low,88.4727118,27.57167144
