State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Category,Long,Lat
Total,6687247,5661944,103629,920740,06-10-2020 14:13,TT,-,-,-
Maharashtra,1453653,1162585,38347,252277,06-10-2020 10:13,MH,Very High,76.1097376,19.4494857
Gujarat,144026,123870,3512,16644,05-10-2020 20:40,GJ,Medium,71.53179951,22.67610793
Nct Of Delhi,292560,263938,5542,23080,05-10-2020 18:53,DL,Low,77.1089796,28.64651901
Madhya Pradesh,137098,115878,2463,18757,05-10-2020 21:12,MP,Low,78.28914974,23.54119371
Rajasthan,146195,123421,1559,21215,05-10-2020 19:38,RJ,Low,73.84798095,26.583406
Tamil Nadu,625391,569664,9846,45881,05-10-2020 18:53,TN,Low,78.40015391,11.00644092
Uttar Pradesh,417437,366321,6092,45024,05-10-2020 18:53,UP,Low,80.56062413,26.92511654
Andhra Pradesh,723512,666433,6019,51060,05-10-2020 19:18,AP,Very Low,79.56437808,16.58251544
Telangana,202594,174769,1181,26644,06-10-2020 11:11,TG,Very Low,#N/A,#N/A
West Bengal,273679,240707,5255,27717,05-10-2020 21:12,WB,Very Low,87.94551118,23.9031649
Jammu And Kashmir,79738,63790,1252,14696,05-10-2020 18:53,JK,Very Low,76.34819795,34.6488084
Karnataka,647712,522846,9370,115477,05-10-2020 23:13,KA,Very Low,76.1664557,14.70517037
Kerala,234929,149111,860,84876,05-10-2020 20:17,KL,Very Low,76.4004563,10.45343544
Bihar,188858,176674,924,11259,05-10-2020 21:19,BR,Very Low,85.60483356,25.67965465
Punjab,119186,102648,3641,12897,05-10-2020 23:13,PB,Very Low,75.40718463,30.84201978
Haryana,134909,121596,1491,11822,05-10-2020 21:12,HR,Very Low,76.33256817,29.20036333
Orissa,238003,206400,993,30610,06-10-2020 14:13,OR,Very Low,84.42155901,20.50461611
Jharkhand,88026,76843,747,10436,05-10-2020 23:13,JH,Very Low,85.55763149,23.65453586
CHANDIGARH,12578,10797,177,1604,05-10-2020 19:21,CH,Very Low,76.76827813,30.73383897
Uttarakhand,51991,42368,669,8701,05-10-2020 21:13,UT,Very Low,79.19908783,30.15649985
Himachal Pradesh,16033,12633,219,3156,05-10-2020 23:13,HP,Very Low,77.23331418,31.92776692
Assam,187718,153488,760,33467,06-10-2020 01:08,AS,Very Low,92.83036388,26.35712846
Chhattisgarh,126005,97067,1081,27857,05-10-2020 23:13,CT,Very Low,82.03536607,21.26470478
ANDAMAN AND NICOBAR ISLANDS,3899,3659,54,186,05-10-2020 23:13,AN,Very Low,92.83019941,12.60225053
Ladakh,4641,3414,61,1166,06-10-2020 01:08,LA,Very Low,#N/A,#N/A
Meghalaya,6765,4491,59,2215,05-10-2020 23:13,ML,Very Low,91.27888216,25.53693419
Puducherry,29277,24221,543,4513,05-10-2020 23:13,PY,Very Low,79.75008317,11.90817791
Goa,35719,30456,460,4803,05-10-2020 23:13,GA,Very Low,74.05787559,15.35953627
Manipur,12105,9334,75,2696,05-10-2020 19:18,MN,Very Low,93.88263121,24.7391372
Tripura,27305,22108,298,4876,06-10-2020 10:24,TR,Very Low,91.74356475,23.74678302
Mizoram,2128,1837,0,291,06-10-2020 11:09,MZ,Very Low,92.83822034,23.30938089
Arunachal Pradesh,10783,7775,19,2989,06-10-2020 10:46,AR,Very Low,94.67515241,28.03873074
Nagaland,6594,5377,12,1149,05-10-2020 19:07,NL,Very Low,94.4703472,26.06717908
DADRA AND NAGAR HAVELI,3090,2959,2,101,05-10-2020 23:19,DN,Very Low,73.08090137,20.19474191
DAMAN AND DIU,3090,2959,2,101,05-10-2020 23:19,DD,Very Low,70.94077258,20.71720563
LAKSHADWEEP,0,0,0,0,26-03-2020 07:19,LD,Very Low,73.04922597,8.28052186
Sikkim,3110,2466,46,598,05-10-2020 23:20,SK,Very Low,88.4727118,27.57167144
